id,teacher_id,pilot_school_id,subject,assigned_by_id,assigned_date,is_active,notes,created_at,updated_at
55,23,8,Language,3,2025-11-06 08:15:44.607,true,,2025-11-06 08:15:44.607,2025-11-06 08:15:44.607
56,34,8,Language,3,2025-11-06 08:16:05.277,true,,2025-11-06 08:16:05.277,2025-11-06 08:16:05.277
57,47,4,Language,3,2025-11-06 08:16:58.803,true,,2025-11-06 08:16:58.803,2025-11-06 08:16:58.803
58,22,4,Language,3,2025-11-06 08:17:13.982,true,,2025-11-06 08:17:13.982,2025-11-06 08:17:13.982
59,41,2,Language,3,2025-11-06 08:17:41.126,true,,2025-11-06 08:17:41.126,2025-11-06 08:17:41.126
60,49,2,Language,3,2025-11-06 08:18:02.879,true,,2025-11-06 08:18:02.879,2025-11-06 08:18:02.879
61,60,32,Math,3,2025-11-06 08:19:15.894,true,,2025-11-06 08:19:15.894,2025-11-06 08:19:15.894
62,79,32,Math,3,2025-11-06 08:19:52.726,true,,2025-11-06 08:19:52.726,2025-11-06 08:19:52.726
63,52,13,Math,3,2025-11-06 08:23:31.894,true,,2025-11-06 08:23:31.894,2025-11-06 08:23:31.894
64,64,25,Language,3,2025-11-06 08:30:15.941,true,,2025-11-06 08:30:15.941,2025-11-06 08:30:15.941
65,113,16,Math,3,2025-11-06 09:25:46.618,true,,2025-11-06 09:25:46.618,2025-11-06 09:25:46.618
66,114,16,Math,3,2025-11-06 09:26:04.433,true,,2025-11-06 09:26:04.433,2025-11-06 09:26:04.433
67,110,6,Language,3,2025-11-06 09:31:47.533,true,,2025-11-06 09:31:47.533,2025-11-06 09:31:47.533
68,74,28,Math,3,2025-11-06 09:34:32.482,true,,2025-11-06 09:34:32.482,2025-11-06 09:34:32.482
69,75,28,Math,3,2025-11-06 09:34:50.495,true,,2025-11-06 09:34:50.495,2025-11-06 09:34:50.495
70,105,27,Math,3,2025-11-06 09:35:56.735,true,,2025-11-06 09:35:56.735,2025-11-06 09:35:56.735
71,73,27,Math,3,2025-11-06 09:36:19.551,true,,2025-11-06 09:36:19.551,2025-11-06 09:36:19.551
72,109,1,Math,3,2025-11-06 09:38:21.073,true,,2025-11-06 09:38:21.073,2025-11-06 09:38:21.073
73,111,7,Language,3,2025-11-06 09:40:12.675,true,,2025-11-06 09:40:12.675,2025-11-06 09:40:12.675
